backbone,method,condition,seed,auc
clip-vit-b-16,tent,gaussian_noise_3,42,0.5247220587119046
clip-vit-b-16,tent,gaussian_noise_4,42,0.5551243682531961
clip-vit-b-16,tent,gaussian_noise_5,42,0.5771484080596543
clip-vit-b-16,tent,jpeg_compression_1,42,0.5757034821827742
clip-vit-b-16,tent,jpeg_compression_2,42,0.4756251996426426
clip-vit-b-16,tent,jpeg_compression_3,42,0.4408792539758999
clip-vit-b-16,tent,jpeg_compression_4,42,0.37930327609969855
clip-vit-b-16,tent,jpeg_compression_5,42,0.4428434198117255
clip-vit-b-16,tent,motion_blur_1,42,0.7333120715909487
clip-vit-b-16,tent,motion_blur_2,42,0.7011666478071269
clip-vit-b-16,tent,motion_blur_3,42,0.7098536789498039
clip-vit-b-16,tent,motion_blur_4,42,0.7136079126226313
clip-vit-b-16,tent,motion_blur_5,42,0.6278925185268955
clip-vit-b-16,tent,brightness_1,123,0.8109801571763283
clip-vit-b-16,tent,brightness_2,123,0.8097557917463576
clip-vit-b-16,tent,brightness_3,123,0.8182418547179469
clip-vit-b-16,tent,brightness_4,123,0.8161268667570121
clip-vit-b-16,tent,brightness_5,123,0.7969107510222149
clip-vit-b-16,tent,gaussian_noise_1,123,0.6234179338450864
clip-vit-b-16,tent,gaussian_noise_2,123,0.5343399015547963
clip-vit-b-16,tent,gaussian_noise_3,123,0.5293422281123648
clip-vit-b-16,tent,gaussian_noise_4,123,0.5981144113921374
clip-vit-b-16,tent,gaussian_noise_5,123,0.629158988597021
clip-vit-b-16,tent,jpeg_compression_1,123,0.5633135376996065
clip-vit-b-16,tent,jpeg_compression_2,123,0.46392561051919273
clip-vit-b-16,tent,jpeg_compression_3,123,0.43721459647388694
clip-vit-b-16,tent,jpeg_compression_4,123,0.3950270775992194
clip-vit-b-16,tent,jpeg_compression_5,123,0.4488802250572504
clip-vit-b-16,tent,motion_blur_1,123,0.7315219858940782
clip-vit-b-16,tent,motion_blur_2,123,0.6843376508506707
clip-vit-b-16,tent,motion_blur_3,123,0.7053894529917656
clip-vit-b-16,tent,motion_blur_4,123,0.7080654149595277
clip-vit-b-16,tent,motion_blur_5,123,0.6238005190196659
clip-vit-b-16,tent,brightness_1,2024,0.8132159984029117
clip-vit-b-16,tent,brightness_2,2024,0.8149310280021153
clip-vit-b-16,tent,brightness_3,2024,0.8220355676302492
clip-vit-b-16,tent,brightness_4,2024,0.8203658306577399
clip-vit-b-16,tent,brightness_5,2024,0.8013047876967717
clip-vit-b-16,tent,gaussian_noise_1,2024,0.6228028489014583
clip-vit-b-16,tent,gaussian_noise_2,2024,0.5497175520116211
clip-vit-b-16,tent,gaussian_noise_3,2024,0.5443398562857502
clip-vit-b-16,tent,gaussian_noise_4,2024,0.5911277647564362
clip-vit-b-16,tent,gaussian_noise_5,2024,0.6023474413515326
clip-vit-b-16,tent,jpeg_compression_1,2024,0.5776195469275727
clip-vit-b-16,tent,jpeg_compression_2,2024,0.4739558198675048
clip-vit-b-16,tent,jpeg_compression_3,2024,0.44499219417902824
clip-vit-b-16,tent,jpeg_compression_4,2024,0.3965972725942519
clip-vit-b-16,tent,jpeg_compression_5,2024,0.46125597987483896
clip-vit-b-16,tent,motion_blur_1,2024,0.734507486173967
clip-vit-b-16,tent,motion_blur_2,2024,0.6929121558914204
clip-vit-b-16,tent,motion_blur_3,2024,0.705198664945763
clip-vit-b-16,tent,motion_blur_4,2024,0.7099013022893468
clip-vit-b-16,tent,motion_blur_5,2024,0.6247058357574962
clip-vit-b-16,tent@paper(0.005),brightness_1,42,0.8176036948241261
clip-vit-b-16,tent@paper(0.005),brightness_2,42,0.8165325938562916
clip-vit-b-16,tent@paper(0.005),brightness_3,42,0.8238436873294086
clip-vit-b-16,tent@paper(0.005),brightness_4,42,0.824411689194518
clip-vit-b-16,tent@paper(0.005),brightness_5,42,0.815047697593551
clip-vit-b-16,tent@paper(0.005),gaussian_noise_1,42,0.6252238969651159
clip-vit-b-16,tent@paper(0.005),gaussian_noise_2,42,0.5240670480320876
clip-vit-b-16,tent@paper(0.005),gaussian_noise_3,42,0.5337628134815515
clip-vit-b-16,tent@paper(0.005),gaussian_noise_4,42,0.5565861091963352
clip-vit-b-16,tent@paper(0.005),gaussian_noise_5,42,0.5775658914174202
clip-vit-b-16,tent@paper(0.005),jpeg_compression_1,42,0.5751306090385121
clip-vit-b-16,tent@paper(0.005),jpeg_compression_2,42,0.4755074138094213
clip-vit-b-16,tent@paper(0.005),jpeg_compression_3,42,0.44153465757282556
clip-vit-b-16,tent@paper(0.005),jpeg_compression_4,42,0.37999594431239625
clip-vit-b-16,tent@paper(0.005),jpeg_compression_5,42,0.44657147984716306
clip-vit-b-16,tent@paper(0.005),motion_blur_1,42,0.7336830567808917
clip-vit-b-16,tent@paper(0.005),motion_blur_2,42,0.7021174179104688
clip-vit-b-16,tent@paper(0.005),motion_blur_3,42,0.7102067417616366
clip-vit-b-16,tent@paper(0.005),motion_blur_4,42,0.714017466198752
clip-vit-b-16,tent@paper(0.005),motion_blur_5,42,0.6279853094740526
siglip2-base,sar,brightness_1,42,0.7977681765224739
siglip2-base,sar,brightness_2,42,0.7886127524666711
siglip2-base,sar,brightness_3,42,0.7878042272865579
siglip2-base,sar,brightness_4,42,0.7793506246260948
siglip2-base,sar,brightness_5,42,0.7637942236746837
siglip2-base,sar,gaussian_noise_1,42,0.5398439558508024
siglip2-base,sar,gaussian_noise_2,42,0.5599443538632212
siglip2-base,sar,gaussian_noise_3,42,0.5898146670344409
siglip2-base,sar,gaussian_noise_4,42,0.6214133332668176
siglip2-base,sar,gaussian_noise_5,42,0.6366147782603275
siglip2-base,sar,jpeg_compression_1,42,0.4447401467838294
siglip2-base,sar,jpeg_compression_2,42,0.43284925614315545
siglip2-base,sar,jpeg_compression_3,42,0.40119403663695075
siglip2-base,sar,jpeg_compression_4,42,0.3723437050247501
siglip2-base,sar,jpeg_compression_5,42,0.38153658122494477
siglip2-base,sar,motion_blur_1,42,0.5322587982295064
siglip2-base,sar,motion_blur_2,42,0.5752889189135194
siglip2-base,sar,motion_blur_3,42,0.5487132201624368
siglip2-base,sar,motion_blur_4,42,0.5430786102271816
siglip2-base,sar,motion_blur_5,42,0.5975283398050018
siglip2-base,sar,brightness_1,123,0.8013985966564375
siglip2-base,sar,brightness_2,123,0.7944334354426266
siglip2-base,sar,brightness_3,123,0.7931949071368795
siglip2-base,sar,brightness_4,123,0.7834521345133383
siglip2-base,sar,brightness_5,123,0.7711375408156689
siglip2-base,sar,gaussian_noise_1,123,0.47952116923244437
siglip2-base,sar,gaussian_noise_2,123,0.48767290439433136
siglip2-base,sar,gaussian_noise_3,123,0.5048102519816543
siglip2-base,sar,gaussian_noise_4,123,0.569170306540008
siglip2-base,sar,gaussian_noise_5,123,0.6139317718131639
siglip2-base,sar,jpeg_compression_1,123,0.4483215415785674
siglip2-base,sar,jpeg_compression_2,123,0.42062147480163925
siglip2-base,sar,jpeg_compression_3,123,0.42381177419442406
siglip2-base,sar,jpeg_compression_4,123,0.36922374672432945
siglip2-base,sar,jpeg_compression_5,123,0.36364368975762235
siglip2-base,sar,motion_blur_1,123,0.524465662438709
siglip2-base,sar,motion_blur_2,123,0.5030445896550537
siglip2-base,sar,motion_blur_3,123,0.4859314198648078
siglip2-base,sar,motion_blur_4,123,0.48646328228586533
siglip2-base,sar,motion_blur_5,123,0.5148436403865718
siglip2-base,sar,brightness_1,2024,0.7995302579454262
